x;y
120;125
119;125
117;125
115;125
111;125
109;122
107;120
104;117
97;112
94;110
91;106
87;103
87;96
87;92
87;88
87;86
86;81
84;79
82;76
80;74
76;68
73;64
70;61
66;58
59;52
54;49
51;47
47;44
41;40
38;37
34;34
31;30
25;24
21;21
18;18
15;14
9;8
5;4
2;1
0;-1
-7;-8
-10;-11
-13;-14
-17;-17
-23;-23
-26;-25
-29;-27
-31;-29
-36;-33
-39;-35
-41;-37
-44;-39
-48;-43
-50;-45
-53;-48
-55;-50
-60;-55
-63;-58
-65;-60
-68;-63
-73;-68
-75;-70
-78;-73
-80;-75
-85;-79
-88;-81
-89;-83
-89;-84
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-89;-87
-91;-87
-92;-87
-94;-87
-97;-92
-98;-95
-100;-98
-102;-100
-107;-105
-110;-107
-112;-109
-115;-111
-123;-115
-126;-115
-130;-115
-134;-115
-140;-115
-140;-115
-140;-115
-140;-115
-140;-115
-140;-115
-140;-115
-140;-115
-140;-111
-140;-108
-140;-106
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-103
-140;-105
-140;-106
-140;-108
-140;-111
-140;-112
