x;y
125;-112
125;-110
125;-107
125;-105
125;-103
125;-101
125;-101
125;-101
125;-101
123;-101
122;-101
118;-101
116;-101
115;-101
110;-101
108;-100
106;-98
104;-96
102;-94
98;-90
96;-88
92;-83
92;-83
87;-78
84;-75
81;-74
78;-74
72;-74
69;-74
66;-74
64;-73
59;-64
57;-59
55;-55
53;-51
49;-43
47;-39
45;-36
43;-32
34;-22
30;-22
26;-22
18;-22
14;-22
9;-22
4;-22
-3;-16
-6;-12
-10;-9
-11;-5
-11;1
-11;4
-11;8
-11;11
-11;17
-11;21
-11;24
-11;28
-11;32
-14;40
-16;44
-19;47
-24;52
-26;54
-29;57
-32;59
-37;66
-39;69
-42;72
-45;76
-49;81
-52;83
-54;85
-57;87
-62;91
-64;91
-66;91
-69;91
-73;91
-76;91
-78;91
-80;91
-85;91
-88;91
-90;91
-92;93
-97;101
-99;104
-101;108
-101;111
-101;113
-101;113
-101;113
-101;113
-101;113
-101;110
-101;109
-101;105
-101;105
-105;102
-107;103
-109;106
-113;111
-116;113
-118;116
-121;118
-126;122
-128;123
-131;125
