time;x;y;fx;fy
63;120;-115;0;617
126;120;-112;0;617
189;120;-108;0;617
252;120;-104;0;617
315;120;-97;0;617
378;120;-93;0;623
441;120;-90;0;623
504;120;-86;0;623
567;120;-79;0;623
630;120;-75;0;623
693;120;-72;0;620
756;120;-68;0;620
819;120;-61;0;620
882;120;-57;0;620
945;120;-53;0;620
1008;120;-50;0;629
1071;120;-43;0;629
1134;120;-39;0;629
1197;120;-35;-29;629
1260;120;-32;-29;629
1323;120;-28;-29;629
1386;120;-21;-29;608
1449;120;-17;-29;608
1512;120;-14;-29;608
1575;120;-6;-37;608
1638;120;-3;-37;585
1701;120;0;-37;585
1764;120;3;-37;585
1827;120;11;-41;585
1890;120;14;-41;585
1953;120;18;-41;548
2016;120;22;-41;548
2079;120;25;-41;548
2142;120;33;-47;548
2205;120;36;-47;548
2268;120;43;-47;531
2331;120;47;-47;531
2394;120;51;-47;531
2457;120;54;-49;531
2520;120;58;-49;531
2583;120;65;-49;494
2646;120;69;-49;494
2709;120;73;-49;494
2772;120;76;-49;494
2835;120;83;-49;401
2898;120;87;-49;401
2961;120;91;-49;401
3024;120;94;-49;401
3087;120;102;-44;401
3150;120;105;-44;213
3213;120;108;-44;213
3276;120;112;-44;213
3339;120;118;-44;213
3402;120;121;-37;213
3465;120;125;-37;213
3528;120;125;-37;0
3591;120;125;-37;-87
3654;120;125;-37;-87
3717;120;125;-48;-87
3780;120;125;-48;-87
3843;120;125;-48;-87
3906;120;125;-48;-97
3969;120;125;-48;-97
4032;120;125;-43;-97
4095;120;125;-43;-97
4158;120;125;-43;-97
4221;120;125;-43;-63
4284;120;125;-43;-63
4347;120;125;-62;-63
4410;120;125;-62;-63
4473;120;125;-62;-63
4536;120;125;-62;-92
4599;120;125;-62;-92
4662;120;125;-95;-92
4725;120;125;-95;-92
4788;120;125;-95;-92
4851;120;125;-95;-107
4914;119;125;-140;-107
4977;117;125;-140;-107
5040;115;125;-140;-107
5103;111;125;-140;-164
5166;109;122;-140;-164
5229;107;120;-203;-164
5292;104;117;-203;-164
5355;97;112;-203;-164
5418;94;110;-203;-313
5481;91;106;-203;-313
5544;87;103;-48;-313
5607;87;96;-48;-313
5670;87;92;-48;-313
5733;87;88;-48;-313
5796;87;86;-48;-160
5859;86;81;-139;-160
5922;84;79;-139;-160
5985;82;76;-139;-160
6048;80;74;-139;-160
6111;76;68;-139;-220
6174;73;64;-349;-220
6237;70;61;-349;-220
6300;66;58;-349;-220
6363;59;52;-349;-167
6426;54;49;-349;-167
6489;51;47;-227;-167
6552;47;44;-227;-167
6615;41;40;-227;-167
6678;38;37;-227;-203
6741;34;34;-227;-203
6804;31;30;-213;-203
6867;25;24;-213;-203
6930;21;21;-213;-203
6993;18;18;-213;-245
7056;15;14;-213;-245
7119;9;8;-231;-245
7182;5;4;-231;-245
7245;2;1;-231;-245
7308;0;-1;-231;-194
7371;-7;-8;-199;-194
7434;-10;-11;-199;-194
