x;y
-117;116
-117;118
-117;122
-117;128
-117;130
-117;130
-117;130
-117;130
-117;127
-117;122
-112;115
-109;112
-105;108
-101;105
-98;103
-90;103
-86;106
-76;111
-72;113
-67;115
-63;117
-59;117
-52;117
-48;117
-44;116
-48;114
-56;111
-60;110
-64;108
-67;108
-75;108
-78;108
-82;108
-89;108
-87;108
-84;108
-80;108
-76;108
-69;108
-65;108
-62;108
-58;108
-54;108
-47;108
-46;108
-49;108
-56;108
-60;108
-64;108
-69;108
-65;108
-62;108
-58;108
-54;108
-47;108
-51;108
-55;108
-58;108
-65;108
-69;108
-67;108
-65;108
-61;108
-59;108
-55;-122
-51;-122
-48;-122
-44;-122
-41;-122
-33;-122
-30;-122
-26;-122
-22;-122
-19;-122
-12;-122
-8;-122
-4;-122
-1;-122
6;-122
9;-122
17;-122
20;-122
24;-122
28;-122
31;-122
39;-122
42;-122
46;-122
53;-122
57;-122
60;-122
64;-122
71;-122
75;-122
79;-122
83;-122
88;-122
93;-122
102;-122
107;-122
109;-122
111;-122
115;-122
117;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
119;-122
