x;y
-140;-112
-139;-112
-129;-112
-124;-112
-120;-112
-115;-112
-107;-112
-103;-112
-100;-112
-96;-112
-89;-112
-85;-112
-82;-112
-78;-112
-71;-112
-67;-112
-64;-112
-60;-112
-53;-112
-49;-112
-45;-112
-42;-112
-35;-112
-31;-112
-27;-112
-24;-112
-16;-112
-13;-112
-9;-112
-5;-112
1;-112
5;-112
8;-112
12;-112
19;-112
23;-112
26;-112
30;-112
37;-112
41;-112
45;-112
48;-112
56;-112
59;-112
63;-112
67;-112
76;-112
81;-112
85;-112
90;-112
96;-112
98;-112
99;-112
101;-112
104;-112
104;-112
104;-112
104;-112
104;-112
104;-112
104;-112
104;-112
104;-112
104;-112
104;-112
104;-112
107;-112
108;-112
110;-112
112;-112
115;-112
117;-112
118;-112
120;-112
124;-112
125;-112
